"","venue","BIP_L","BIP_R","hr_per_fb_L","hr_per_fb_R","gb_pct_L","gb_pct_R","fb_pct_L","fb_pct_R","hr_advantage_L"
"1","Acereros del Norte",1940,2513,0.149193548387097,0.14070351758794,0.439690721649485,0.45125348189415,0.255670103092783,0.237564663748508,1.06033986175115
"2","Algodoneros Union Laguna",2144,2870,0.10455764075067,0.107438016528926,0.442630597014925,0.463763066202091,0.34794776119403,0.337282229965157,0.973190348525469
"3","Bravos de Leon",1879,2786,0.212471131639723,0.191522762951334,0.456625864821714,0.461952620244078,0.230441724321448,0.228643216080402,1.1093779578238
"4","Caliente de Durango",1761,3116,0.163716814159292,0.125506072874494,0.42816581487791,0.452503209242619,0.256672345258376,0.23780487804878,1.30445332572081
"5","Charros de Jalisco",1833,2586,0.115577889447236,0.149606299212598,0.430987452264048,0.468677494199536,0.32569558101473,0.294663573085847,0.772546945252579
"6","Conspiradores de Queretaro",2222,2783,0.245387453874539,0.262269938650307,0.445544554455446,0.466762486525332,0.243924392439244,0.234279554437657,0.935629356293563
"7","Diablos Rojos del Mexico",2540,2154,0.150413223140496,0.196356275303644,0.441338582677165,0.469359331476323,0.238188976377953,0.229340761374188,0.766021981767061
"8","Dorados de Chihuahua",1862,3148,0.153172866520788,0.148584905660377,0.476369495166488,0.439008894536213,0.245435016111708,0.269377382465057,1.03087770483832
"9","El Aguila de Veracruz",1975,2552,0.146464646464646,0.167621776504298,0.405569620253165,0.461206896551724,0.300759493670886,0.273510971786834,0.873780540447207
"10","Guerreros de Oaxaca",1979,2483,0.153262518968134,0.202816901408451,0.434562910560889,0.486910994764398,0.33299646286003,0.285944422070077,0.75566936435677
"11","Leones de Yucatan",1864,2789,0.120593692022263,0.121761658031088,0.438304721030043,0.45069917533166,0.289163090128755,0.27680172104697,0.99040776852327
"12","Olmecas de Tabasco",1700,2930,0.122661122661123,0.0970760233918129,0.392941176470588,0.407849829351536,0.282941176470588,0.291808873720137,1.2635573478947
"13","Pericos de Puebla",1657,3280,0.152777777777778,0.156970362239297,0.428485214242607,0.482621951219512,0.347616173808087,0.277743902439024,0.973290598290598
"14","Piratas de Campeche",1718,2846,0.147222222222222,0.124658780709736,0.384167636786962,0.416373858046381,0.419091967403958,0.386156008432888,1.18100162206002
"15","Rieleros de Aguascalientes",1528,3449,0.168044077134986,0.23412204234122,0.444371727748691,0.440707451435199,0.237565445026178,0.232821107567411,0.717762733720181
"16","Saraperos de Saltillo",1653,3299,0.236363636363636,0.206840390879479,0.44464609800363,0.476811154895423,0.199637023593466,0.186117005153077,1.14273443092341
"17","Sultanes de Monterrey",2140,2531,0.135225375626043,0.123028391167192,0.442523364485981,0.484393520347689,0.279906542056075,0.250493875938364,1.09913959162707
"18","Tecos de los Dos Laredos",1768,2545,0.0944741532976827,0.109439124487004,0.479638009049774,0.475442043222004,0.317307692307692,0.287229862475442,0.863257575757576
"19","Tigres de Quintana Roo",1799,2491,0.115384615384615,0.168195718654434,0.448026681489717,0.423123243677238,0.260144524735964,0.262545162585307,0.686013986013986
"20","Toros de Tijuana",1621,2892,0.164864864864865,0.159638554216867,0.435533621221468,0.433609958506224,0.228254164096237,0.229598893499308,1.03273839877613
