"","venue","BIP_L","BIP_R","hr_per_fb_L","hr_per_fb_R","gb_pct_L","gb_pct_R","fb_pct_L","fb_pct_R","hr_advantage_L"
"1","Acereros del Norte",2371,3136,0.136513157894737,0.133507853403141,0.444116406579502,0.453125,0.256431885280472,0.243622448979592,1.02251031991744
"2","Algodoneros Union Laguna",2470,3373,0.0972716488730724,0.107020547945205,0.444939271255061,0.456863326415654,0.341295546558704,0.34627927660836,0.908906287069988
"3","Bravos de Leon",2393,3438,0.221579961464355,0.200267022696929,0.452987881320518,0.457242582897033,0.216882574174676,0.217859220477022,1.10642260757868
"4","Caliente de Durango",2192,3748,0.161524500907441,0.128293241695304,0.427007299270073,0.446371398078975,0.251368613138686,0.232924226254002,1.25902579725175
"5","Charros de Jalisco",2282,3265,0.108355091383812,0.14375,0.431638913234005,0.464931087289433,0.33567046450482,0.294027565084227,0.753774548756953
"6","Conspiradores de Queretaro",2672,3397,0.247663551401869,0.282115869017632,0.458458083832335,0.472475713865175,0.240269461077844,0.233735649102149,0.877878838451268
"7","Diablos Rojos del Mexico",3383,2650,0.151685393258427,0.17956204379562,0.446053798403784,0.459622641509434,0.263080106414425,0.258490566037736,0.844751986845711
"8","Dorados de Chihuahua",2244,3872,0.166666666666667,0.145454545454545,0.457664884135472,0.431559917355372,0.248663101604278,0.269886363636364,1.14583333333333
"9","El Aguila de Veracruz",2323,3068,0.147353361945637,0.16686674669868,0.411536805854498,0.458930899608866,0.300904003443823,0.271512385919166,0.883060075544714
"10","Guerreros de Oaxaca",2580,3200,0.135329341317365,0.177777777777778,0.434108527131783,0.4775,0.323643410852713,0.28125,0.76122754491018
"11","Leones de Yucatan",2142,3253,0.107717041800643,0.117647058823529,0.438375350140056,0.454964648017215,0.290382819794585,0.271749154626499,0.915594855305466
"12","Olmecas de Tabasco",2034,3360,0.113559322033898,0.0965447154471545,0.385447394296952,0.403571428571429,0.290068829891839,0.292857142857143,1.17623550401427
"13","Pericos de Puebla",1946,3798,0.143916913946588,0.147973609802074,0.438335046248715,0.487888362295945,0.346351490236382,0.279357556608741,0.972585004441588
"14","Piratas de Campeche",2235,3335,0.160138248847926,0.132947976878613,0.424608501118568,0.447076461769115,0.388366890380313,0.36311844077961,1.20451813263875
"15","Rieleros de Aguascalientes",1773,4085,0.176056338028169,0.231644260599793,0.447264523406655,0.441860465116279,0.240270727580372,0.23671970624235,0.760028923541247
"16","Saraperos de Saltillo",2129,4015,0.242647058823529,0.223140495867769,0.420385157350869,0.464508094645081,0.191639267261625,0.180821917808219,1.08741830065359
"17","Sultanes de Monterrey",2567,3082,0.129834254143646,0.110969387755102,0.440981690689521,0.480207657365347,0.282041293338527,0.254380272550292,1.1700006350416
"18","Tecos de los Dos Laredos",2106,3130,0.087463556851312,0.102389078498294,0.465337132003799,0.475718849840256,0.325735992402659,0.280830670926518,0.854227405247813
"19","Tigres de Quintana Roo",2182,2942,0.120938628158845,0.16158940397351,0.443629697525206,0.422841604350782,0.253895508707608,0.256628144119647,0.748431674261703
"20","Toros de Tijuana",1854,3318,0.16588785046729,0.155149934810952,0.434196332254585,0.434297769740808,0.230852211434736,0.231163351416516,1.06920992696144
