"","year","split_type","bat_side","pitcher_id","Name","Team","pitch_hand","pitch_hand_label","role","role_label","age","birth_country","birth_city","G","GS","BF","AB","H","1B","2B","3B","HR","K","BB","IBB","uBB","HBP","SF","DP","R","Outs","IP_dec","ERA","R9","WHIP","FIP","FIP-","BAA","OBP_a","SLG_a","OPS_a","wOBA_a","wRAA_a","K%","BB%","K-BB%","K/9","BB/9","HR/9","H/9","GO","AO","LO","GO%","AO%","LO%","GO/AO","Pitches","Swing%","Whiff%","Contact%","SwStr%","CSW%","CStr%","Str%","ER","W","L","SV","SVO","HLD","BS","CG","SHO","BK","NP","WP","mWAR","RAA9","RE24_pit","dRPW","pFIP","pFIP-","xFIP","xFIP-","RA9","RA9-","ERA-","P/INN","K/BB","Qualified","POS"
"1","2026","Overall","All",668826,"A.J. Candelario","MVA","R","Diestro","SP","Abridor",28,"USA","Bayonne",12,12,257,221,57,41,13,0,3,50,27,0,27,3,2,9,23,179,59.6666666666667,3.88,3.47,1.408,4.57,83,0.258,0.344,0.357,0.701,0.328,-9.1,19.5,10.5,9,7.54,4.07,0.45,8.6,47,62,5,41.2,54.4,4.4,0.76,1067,45.6,21.4,78.6,9.7,25.8,16,61.7,26,4,3,0,0,0,0,0,0,0,1070,2,1.5,1.1,7.8,10.4368055555556,4.47,88,5.52,109,3.89,70,77,17.73,1.85,"NO","P"
"2","2026","vs_LHB","L",668826,"A.J. Candelario","MVA","R","Diestro","SP","Abridor",28,"USA","Bayonne",12,NA,126,103,24,16,7,0,1,29,20,0,20,0,1,3,11,85,28.3333333333333,3.88,3.49,1.553,4.61,84,0.233,0.355,0.33,0.685,0.329,-4.3,23,15.9,7.1,9.21,6.35,0.32,7.62,17,28,4,34.7,57.1,8.2,0.61,565,42.5,25.8,74.2,11,27.3,16.3,58.8,26,4,3,0,0,0,0,0,0,0,1070,2,1.5,1.1,7.8,10.4368055555556,4.47,88,5.52,109,3.89,70,77,17.73,1.85,"NO","P"
"3","2026","vs_RHB","R",668826,"A.J. Candelario","MVA","R","Diestro","SP","Abridor",28,"USA","Bayonne",12,NA,131,118,33,25,6,0,2,21,7,0,7,3,1,6,12,94,31.3333333333333,3.88,3.45,1.277,4.53,83,0.28,0.333,0.381,0.714,0.327,-4.8,16,5.3,10.7,6.03,2.01,0.57,9.48,30,34,1,46.2,52.3,1.5,0.88,502,49.2,17,83,8.4,24.1,15.7,64.9,26,4,3,0,0,0,0,0,0,0,1070,2,1.5,1.1,7.8,10.4368055555556,4.47,88,5.52,109,3.89,70,77,17.73,1.85,"NO","P"
"4","2026","Overall","All",669468,"Aaron Leasher","LAG","L","Zurdo","SP","Abridor",30,"USA","Mount Pleasant",4,2,35,32,14,10,3,0,1,5,2,0,2,0,1,1,6,20,6.66666666666667,10.8,8.1,2.4,5.43,99,0.438,0.457,0.625,1.082,0.467,3.5,14.3,5.7,8.6,6.75,2.7,1.35,18.9,7,6,1,50,42.9,7.1,1.17,130,46.9,18,82,8.5,21.5,13.1,60,8,1,1,0,0,0,0,0,0,0,130,0,0.1,0.13,-3,11.3214166666667,5.44,107,4.96,98,11.61,208,213,19.5,2.5,"NO","P"
"5","2026","vs_RHB","R",669468,"Aaron Leasher","LAG","L","Zurdo","SP","Abridor",30,"USA","Mount Pleasant",4,NA,30,27,14,10,3,0,1,5,2,0,2,0,1,0,6,14,4.66666666666667,10.8,11.57,3.429,6.01,110,0.519,0.533,0.741,1.274,0.545,5.3,16.7,6.7,10,9.64,3.86,1.93,27,5,3,1,55.6,33.3,11.1,1.67,115,47,20.4,79.6,9.6,21.7,12.2,59.1,8,1,1,0,0,0,0,0,0,0,130,0,0.1,0.13,-3,11.3214166666667,5.44,107,4.96,98,11.61,208,213,19.5,2.5,"NO","P"
"6","2026","Overall","All",622426,"Adrian Almeida","AGS","L","Zurdo","SP","Abridor",31,"Venezuela","Puerto Cabello",13,9,203,178,60,46,9,0,5,48,19,1,18,2,2,7,32,130,43.3333333333333,6.02,6.65,1.8,4.75,87,0.337,0.403,0.472,0.875,0.396,6.4,23.6,8.9,14.7,9.97,3.74,1.04,12.46,41,25,6,56.9,34.7,8.3,1.64,813,44.2,27.6,72.4,12.2,27.9,15.7,59.9,29,3,4,0,1,0,1,0,0,0,813,2,0.8,0.91,-8.7,10.8521666666667,4.66,92,4.12,81,6.68,120,119,18.76,2.53,"NO","P"
"7","2026","vs_LHB","L",622426,"Adrian Almeida","AGS","L","Zurdo","SP","Abridor",31,"Venezuela","Puerto Cabello",12,NA,44,36,12,8,4,0,0,14,5,0,5,1,2,1,8,27,9,6.02,8,1.889,2.97,54,0.333,0.409,0.444,0.853,0.387,1,31.8,11.4,20.4,14,5,0,12,7,2,1,70,20,10,3.5,178,46.1,34.1,65.9,15.7,30.9,15.2,61.2,29,3,4,0,1,0,1,0,0,0,813,2,0.8,0.91,-8.7,10.8521666666667,4.66,92,4.12,81,6.68,120,119,18.76,2.53,"NO","P"
"8","2026","vs_RHB","R",622426,"Adrian Almeida","AGS","L","Zurdo","SP","Abridor",31,"Venezuela","Puerto Cabello",13,NA,159,142,48,38,5,0,5,34,14,1,13,1,0,6,24,103,34.3333333333333,6.02,6.29,1.777,5.22,95,0.338,0.401,0.479,0.88,0.398,5.3,21.4,8.2,13.2,8.91,3.41,1.31,12.58,34,23,5,54.8,37.1,8.1,1.48,635,43.6,25.6,74.4,11.2,27.1,15.9,59.5,29,3,4,0,1,0,1,0,0,0,813,2,0.8,0.91,-8.7,10.8521666666667,4.66,92,4.12,81,6.68,120,119,18.76,2.53,"NO","P"
"9","2026","Overall","All",641506,"Adrian De Horta","LAR","R","Diestro","SP","Abridor",31,"USA","La Puente",16,12,248,203,49,27,12,2,8,34,37,0,37,6,1,1,29,161,53.6666666666667,5.83,4.86,1.602,7.15,130,0.241,0.372,0.438,0.81,0.369,1.2,13.7,14.9,-1.2,5.7,6.2,1.34,8.22,50,69,9,39.1,53.9,7,0.72,957,43.9,21.7,78.3,9.5,24.6,15,58.9,35,1,3,0,0,0,0,0,0,0,957,11,-0.1,-1.48,-1.2,12.1875,7.05,139,7.25,143,5.83,105,115,17.72,0.92,"NO","P"
"10","2026","vs_LHB","L",641506,"Adrian De Horta","LAR","R","Diestro","SP","Abridor",31,"USA","La Puente",16,NA,107,86,19,7,8,2,2,17,16,0,16,3,1,0,13,72,24,5.83,4.88,1.458,6.12,112,0.221,0.358,0.43,0.788,0.355,-0.9,15.9,15,0.9,6.38,6,0.75,7.12,18,31,3,34.6,59.6,5.8,0.58,432,44.7,23.3,76.7,10.4,24.8,14.4,59,35,1,3,0,0,0,0,0,0,0,957,11,-0.1,-1.48,-1.2,12.1875,7.05,139,7.25,143,5.83,105,115,17.72,0.92,"NO","P"
"11","2026","vs_RHB","R",641506,"Adrian De Horta","LAR","R","Diestro","SP","Abridor",31,"USA","La Puente",16,NA,141,117,30,20,4,0,6,17,21,0,21,3,0,1,16,89,29.6666666666667,5.83,4.85,1.719,7.99,146,0.256,0.383,0.444,0.827,0.38,2.2,12.1,14.9,-2.8,5.16,6.37,1.82,9.1,32,38,6,42.1,50,7.9,0.84,525,43.2,20.3,79.7,8.8,24.4,15.6,58.9,35,1,3,0,0,0,0,0,0,0,957,11,-0.1,-1.48,-1.2,12.1875,7.05,139,7.25,143,5.83,105,115,17.72,0.92,"NO","P"
"12","2026","Overall","All",594105,"Aldo Montes","LAG","R","Diestro","SP","Abridor",36,"Mexico","Tijuana Baja",14,11,229,182,56,41,10,1,4,36,26,0,26,18,2,7,38,133,44.3333333333333,7.8,7.71,1.85,6.61,121,0.308,0.439,0.44,0.879,0.414,11.2,15.7,11.4,4.3,7.31,5.28,0.81,11.37,48,32,12,52.2,34.8,13,1.5,861,42.3,26.1,73.9,11,28,17,59.2,39,1,4,0,0,0,0,0,0,0,861,6,0.1,-0.91,-19,11.8425,6.48,128,6.51,128,9,162,154,19.13,1.38,"NO","P"
"13","2026","vs_LHB","L",594105,"Aldo Montes","LAG","R","Diestro","SP","Abridor",36,"Mexico","Tijuana Baja",14,NA,95,71,22,16,3,1,2,12,15,0,15,8,0,2,19,52,17.3333333333333,7.8,9.87,2.135,8.18,149,0.31,0.479,0.465,0.944,0.446,7.6,12.6,15.8,-3.2,6.23,7.79,1.04,11.42,22,12,5,56.4,30.8,12.8,1.83,373,38.1,24.6,75.4,9.4,24.9,15.5,53.6,39,1,4,0,0,0,0,0,0,0,861,6,0.1,-0.91,-19,11.8425,6.48,128,6.51,128,9,162,154,19.13,1.38,"NO","P"
"14","2026","vs_RHB","R",594105,"Aldo Montes","LAG","R","Diestro","SP","Abridor",36,"Mexico","Tijuana Baja",14,NA,134,111,34,25,7,0,2,24,11,0,11,10,2,5,19,81,27,7.8,6.33,1.667,5.6,102,0.306,0.41,0.423,0.833,0.391,3.5,17.9,8.2,9.7,8,3.67,0.67,11.33,26,20,7,49.1,37.7,13.2,1.3,488,45.5,27,73,12.3,30.3,18,63.5,39,1,4,0,0,0,0,0,0,0,861,6,0.1,-0.91,-19,11.8425,6.48,128,6.51,128,9,162,154,19.13,1.38,"NO","P"
"15","2026","Overall","All",672598,"Alemao Hernandez","OAX","L","Zurdo","SP","Abridor",26,"Mexico","Guadalajara",22,9,244,224,84,64,10,2,8,33,16,0,16,0,1,5,34,149,49.6666666666667,6.93,6.16,2.013,5.81,106,0.375,0.415,0.545,0.96,0.422,13.9,13.5,6.6,6.9,5.98,2.9,1.45,15.22,51,58,6,44.3,50.4,5.2,0.88,845,46.9,14.1,85.9,6.6,25.2,18.6,65.4,39,2,6,0,0,0,0,0,0,0,868,1,0.3,-0.15,-9.5,11.4095652173913,5.72,113,5.55,109,6.99,125,137,17.13,2,"NO","P"
"16","2026","vs_LHB","L",672598,"Alemao Hernandez","OAX","L","Zurdo","SP","Abridor",26,"Mexico","Guadalajara",21,NA,97,89,37,30,5,0,2,10,6,0,6,0,0,0,12,54,18,6.93,6,2.389,5.41,99,0.416,0.453,0.539,0.992,0.446,7.8,10.3,6.2,4.1,5,3,1,18.5,15,26,3,34.1,59.1,6.8,0.58,313,51.1,14.4,85.6,7.3,25.6,18.2,69.3,39,2,6,0,0,0,0,0,0,0,868,1,0.3,-0.15,-9.5,11.4095652173913,5.72,113,5.55,109,6.99,125,137,17.13,2,"NO","P"
"17","2026","vs_RHB","R",672598,"Alemao Hernandez","OAX","L","Zurdo","SP","Abridor",26,"Mexico","Guadalajara",19,NA,147,135,47,34,5,2,6,23,10,0,10,0,1,5,22,95,31.6666666666667,6.93,6.25,1.8,6.04,110,0.348,0.39,0.548,0.938,0.407,6.2,15.6,6.8,8.8,6.54,2.84,1.71,13.36,36,32,3,50.7,45.1,4.2,1.12,532,44.4,14,86,6.2,25,18.8,63.2,39,2,6,0,0,0,0,0,0,0,868,1,0.3,-0.15,-9.5,11.4095652173913,5.72,113,5.55,109,6.99,125,137,17.13,2,"NO","P"
"18","2026","Overall","All",840328,"Amilcar Carreon","MVA","L","Zurdo","SP","Abridor",18,"Mexico","Monclova",11,10,182,166,41,33,6,0,2,27,10,0,10,2,2,2,15,129,43,3.35,3.14,1.186,4.27,78,0.247,0.294,0.319,0.613,0.284,-14.3,14.8,5.5,9.3,5.65,2.09,0.42,8.58,48,40,10,49,40.8,10.2,1.2,713,44.5,21.5,78.5,9.5,27.2,17.7,62.1,16,3,1,0,0,0,0,0,0,0,713,4,1.2,1.39,10.5,10.4493939393939,4.18,82,5.13,101,3.35,60,66,16.58,2.7,"NO","P"
"19","2026","vs_LHB","L",840328,"Amilcar Carreon","MVA","L","Zurdo","SP","Abridor",18,"Mexico","Monclova",10,NA,48,43,11,11,0,0,0,5,4,0,4,1,0,1,3,33,11,3.35,2.45,1.364,4.53,83,0.256,0.333,0.256,0.589,0.295,-3.2,10.4,8.3,2.1,4.09,3.27,0,9,13,12,2,48.1,44.4,7.4,1.08,194,43.3,19,81,8.2,24.7,16.5,59.8,16,3,1,0,0,0,0,0,0,0,713,4,1.2,1.39,10.5,10.4493939393939,4.18,82,5.13,101,3.35,60,66,16.58,2.7,"NO","P"
"20","2026","vs_RHB","R",840328,"Amilcar Carreon","MVA","L","Zurdo","SP","Abridor",18,"Mexico","Monclova",11,NA,134,123,30,22,6,0,2,22,6,0,6,1,2,1,12,96,32,3.35,3.38,1.125,4.17,76,0.244,0.28,0.341,0.621,0.28,-11,16.4,4.5,11.9,6.19,1.69,0.56,8.44,35,28,8,49.3,39.4,11.3,1.25,519,44.9,22.3,77.7,10,28.1,18.1,63,16,3,1,0,0,0,0,0,0,0,713,4,1.2,1.39,10.5,10.4493939393939,4.18,82,5.13,101,3.35,60,66,16.58,2.7,"NO","P"
"21","2026","Overall","All",810862,"Angel Lopez","LEO","L","Zurdo","SP","Abridor",23,"Mexico","Mexicali",20,1,102,87,36,29,4,0,3,11,10,0,10,3,2,1,21,53,17.6666666666667,12.23,10.7,2.604,7.25,132,0.414,0.48,0.563,1.043,0.468,10.4,10.8,9.8,1,5.6,5.09,1.53,18.34,21,16,5,50,38.1,11.9,1.31,388,40.5,14.6,85.4,5.9,21.9,16,56.4,24,0,0,0,0,1,0,0,0,0,388,3,-0.2,-1.68,-10.8,11.5958,7.25,143,6.53,129,12.56,225,241,21.96,1.1,"NO","P"
"22","2026","vs_LHB","L",810862,"Angel Lopez","LEO","L","Zurdo","SP","Abridor",23,"Mexico","Mexicali",18,NA,51,46,16,12,3,0,1,7,3,0,3,2,0,0,8,29,9.66666666666667,12.23,7.45,1.966,5.53,101,0.348,0.412,0.478,0.89,0.405,2.1,13.7,5.9,7.8,6.52,2.79,0.93,14.9,10,8,5,43.5,34.8,21.7,1.25,186,41.4,19.5,80.5,8.1,24.7,16.7,58.1,24,0,0,0,0,1,0,0,0,0,388,3,-0.2,-1.68,-10.8,11.5958,7.25,143,6.53,129,12.56,225,241,21.96,1.1,"NO","P"
"23","2026","vs_RHB","R",810862,"Angel Lopez","LEO","L","Zurdo","SP","Abridor",23,"Mexico","Mexicali",18,NA,51,41,20,17,1,0,2,4,7,0,7,1,2,1,13,24,8,12.23,14.62,3.375,9.33,170,0.488,0.549,0.659,1.208,0.53,8.3,7.8,13.7,-5.9,4.5,7.88,2.25,22.5,11,8,0,57.9,42.1,0,1.38,202,39.6,10,90,4,19.3,15.3,55,24,0,0,0,0,1,0,0,0,0,388,3,-0.2,-1.68,-10.8,11.5958,7.25,143,6.53,129,12.56,225,241,21.96,1.1,"NO","P"
"24","2026","Overall","All",667373,"Angel Rondón","VER","R","Diestro","SP","Abridor",28,"Dominican Republic","Higuey",30,2,170,146,41,26,8,1,6,25,16,1,15,3,2,2,30,111,37,6.32,7.3,1.514,6.3,115,0.281,0.359,0.473,0.832,0.368,0.7,14.7,8.8,5.9,6.08,3.65,1.46,9.97,44,35,5,52.4,41.7,6,1.26,642,47.8,26.7,73.3,12.8,26.2,13.4,61.2,26,2,2,0,0,2,0,0,0,1,642,2,-0.1,-0.56,-8.4,11.4701111111111,6.13,121,5.6,110,7.3,131,125,17.35,1.67,"NO","P"
"25","2026","vs_LHB","L",667373,"Angel Rondón","VER","R","Diestro","SP","Abridor",28,"Dominican Republic","Higuey",29,NA,67,56,13,6,2,0,5,8,8,1,7,1,0,2,16,47,15.6666666666667,6.32,9.19,1.277,8.74,159,0.232,0.338,0.536,0.874,0.375,0.7,11.9,10.4,1.5,4.6,4.02,2.87,7.47,20,18,2,50,45,5,1.11,259,41.7,22.2,77.8,9.3,22,12.7,54.4,26,2,2,0,0,2,0,0,0,1,642,2,-0.1,-0.56,-8.4,11.4701111111111,6.13,121,5.6,110,7.3,131,125,17.35,1.67,"NO","P"
"26","2026","vs_RHB","R",667373,"Angel Rondón","VER","R","Diestro","SP","Abridor",28,"Dominican Republic","Higuey",29,NA,103,90,28,20,6,1,1,17,8,0,8,2,2,0,14,64,21.3333333333333,6.32,5.91,1.688,4.5,82,0.311,0.373,0.433,0.806,0.363,-0.1,16.5,7.8,8.7,7.17,3.38,0.42,11.81,24,17,3,54.5,38.6,6.8,1.41,383,52,29.1,70.9,15.1,29,13.8,65.8,26,2,2,0,0,2,0,0,0,1,642,2,-0.1,-0.56,-8.4,11.4701111111111,6.13,121,5.6,110,7.3,131,125,17.35,1.67,"NO","P"
"27","2026","Overall","All",687424,"Anthony Maldonado","CAM","R","Diestro","SP","Abridor",28,"USA","Wellington",7,1,25,18,4,1,0,1,2,2,6,0,6,0,1,0,6,16,5.33333333333333,5.4,10.12,1.875,11.58,211,0.222,0.4,0.667,1.067,0.428,1.6,8,24,-16,3.38,10.12,3.38,6.75,7,7,0,50,50,0,1,83,34.9,24.1,75.9,8.4,24.1,15.7,50.6,4,1,0,0,0,1,0,0,0,0,100,1,-0.2,-4.23,-1.8,11.901375,9.8,193,7.49,148,5.81,104,107,15,0.67,"NO","P"
"28","2026","vs_LHB","L",687424,"Anthony Maldonado","CAM","R","Diestro","SP","Abridor",28,"USA","Wellington",6,NA,10,7,2,1,0,0,1,0,3,0,3,0,0,0,3,6,2,5.4,13.5,2.5,15.08,275,0.286,0.5,0.714,1.214,0.514,1.5,0,30,-30,0,13.5,4.5,9,3,3,0,50,50,0,1,37,35.1,23.1,76.9,8.1,18.9,10.8,45.9,4,1,0,0,0,1,0,0,0,0,100,1,-0.2,-4.23,-1.8,11.901375,9.8,193,7.49,148,5.81,104,107,15,0.67,"NO","P"
"29","2026","vs_RHB","R",687424,"Anthony Maldonado","CAM","R","Diestro","SP","Abridor",28,"USA","Wellington",7,NA,15,11,2,0,0,1,1,2,3,0,3,0,1,0,3,10,3.33333333333333,5.4,8.1,1.5,9.48,173,0.182,0.333,0.636,0.969,0.371,0.1,13.3,20,-6.7,5.4,8.1,2.7,5.4,4,4,0,50,50,0,1,46,34.8,25,75,8.7,28.3,19.6,54.3,4,1,0,0,0,1,0,0,0,0,100,1,-0.2,-4.23,-1.8,11.901375,9.8,193,7.49,148,5.81,104,107,15,0.67,"NO","P"
"30","2026","Overall","All",665733,"Antonio Santos","PUE","R","Diestro","SP","Abridor",29,"Dominican Republic","Villa Gonzalez",17,17,323,290,72,47,15,3,7,62,25,0,25,5,1,12,35,234,78,4.27,4.04,1.244,4.81,88,0.248,0.318,0.393,0.711,0.32,-13.9,19.2,7.7,11.5,7.15,2.88,0.81,8.31,66,78,12,42.3,50,7.7,0.85,1257,45.7,25.4,74.6,11.6,27.6,16,61.7,37,8,3,0,0,0,0,0,0,1,1257,2,1.7,0.85,7.3,10.705,4.72,93,5.2,103,4.5,81,84,16.12,2.48,"NO","P"
"31","2026","vs_LHB","L",665733,"Antonio Santos","PUE","R","Diestro","SP","Abridor",29,"Dominican Republic","Villa Gonzalez",17,NA,160,142,31,19,9,2,1,32,14,0,14,2,0,7,14,121,40.3333333333333,4.27,3.12,1.116,4.01,73,0.218,0.297,0.331,0.628,0.29,-11.6,20,8.8,11.2,7.14,3.12,0.22,6.92,36,37,4,46.8,48.1,5.2,0.97,620,46.3,24.7,75.3,11.5,26.8,15.3,61.6,37,8,3,0,0,0,0,0,0,1,1257,2,1.7,0.85,7.3,10.705,4.72,93,5.2,103,4.5,81,84,16.12,2.48,"NO","P"
"32","2026","vs_RHB","R",665733,"Antonio Santos","PUE","R","Diestro","SP","Abridor",29,"Dominican Republic","Villa Gonzalez",17,NA,163,148,41,28,6,1,6,30,11,0,11,3,1,5,21,113,37.6666666666667,4.27,5.02,1.381,5.67,103,0.277,0.337,0.453,0.79,0.349,-2.4,18.4,6.7,11.7,7.17,2.63,1.43,9.8,30,41,8,38,51.9,10.1,0.73,637,45.1,26.1,73.9,11.8,28.4,16.6,61.7,37,8,3,0,0,0,0,0,0,1,1257,2,1.7,0.85,7.3,10.705,4.72,93,5.2,103,4.5,81,84,16.12,2.48,"NO","P"
"33","2026","Overall","All",592411,"Ben Holmes","AGS","L","Zurdo","SP","Abridor",34,"USA","Clackamas",8,7,156,139,46,30,9,1,6,18,13,0,13,1,2,8,25,107,35.6666666666667,6.5,6.31,1.654,6.44,118,0.331,0.387,0.54,0.927,0.402,5.8,11.5,8.3,3.2,4.54,3.28,1.51,11.61,29,47,5,35.8,58,6.2,0.62,563,48.7,18.2,81.8,8.9,27.4,18.5,67.1,26,1,3,0,0,0,0,0,0,0,563,1,0.2,-0.75,-4.4,11.9175,6.32,125,6.34,125,6.75,121,128,15.64,1.38,"NO","P"
"34","2026","vs_LHB","L",592411,"Ben Holmes","AGS","L","Zurdo","SP","Abridor",34,"USA","Clackamas",7,NA,39,36,13,10,0,0,3,5,2,0,2,0,1,1,9,26,8.66666666666667,6.5,9.35,1.731,8.12,148,0.361,0.385,0.611,0.996,0.422,2.2,12.8,5.1,7.7,5.19,2.08,3.12,13.5,9,10,2,42.9,47.6,9.5,0.9,137,50.4,15.9,84.1,8,29.2,21.2,71.5,26,1,3,0,0,0,0,0,0,0,563,1,0.2,-0.75,-4.4,11.9175,6.32,125,6.34,125,6.75,121,128,15.64,1.38,"NO","P"
"35","2026","vs_RHB","R",592411,"Ben Holmes","AGS","L","Zurdo","SP","Abridor",34,"USA","Clackamas",8,NA,117,103,33,20,9,1,3,13,11,0,11,1,1,7,16,81,27,6.5,5.33,1.63,5.89,107,0.32,0.388,0.515,0.903,0.395,3.6,11.1,9.4,1.7,4.33,3.67,1,11,20,37,3,33.3,61.7,5,0.54,426,48.1,19,81,9.2,26.8,17.6,65.7,26,1,3,0,0,0,0,0,0,0,563,1,0.2,-0.75,-4.4,11.9175,6.32,125,6.34,125,6.75,121,128,15.64,1.38,"NO","P"
"36","2026","Overall","All",673872,"Bobby Milacki","CAM","R","Diestro","SP","Abridor",29,"USA","Lake Havasu City",15,14,266,248,74,48,19,0,7,42,15,0,15,0,2,4,36,181,60.3333333333333,4.84,5.37,1.475,4.94,90,0.298,0.336,0.46,0.796,0.349,-3.9,15.8,5.6,10.2,6.27,2.24,1.04,11.04,60,66,9,44.4,48.9,6.7,0.91,974,48.3,21.5,78.5,10.4,28.2,17.9,66.1,33,2,4,0,0,0,0,0,0,0,974,3,1.2,0.73,-1.3,10.8594111111111,4.84,95,5.16,102,5.3,95,95,15.88,2.8,"NO","P"
"37","2026","vs_LHB","L",673872,"Bobby Milacki","CAM","R","Diestro","SP","Abridor",29,"USA","Lake Havasu City",15,NA,165,150,54,33,15,0,6,22,13,0,13,0,2,2,28,99,33,4.84,7.64,2.03,6.29,115,0.36,0.406,0.58,0.986,0.425,9.9,13.3,7.9,5.4,6,3.55,1.64,14.73,30,41,5,39.5,53.9,6.6,0.73,605,46.3,18.9,81.1,8.8,26.3,17.5,63.8,33,2,4,0,0,0,0,0,0,0,974,3,1.2,0.73,-1.3,10.8594111111111,4.84,95,5.16,102,5.3,95,95,15.88,2.8,"NO","P"
"38","2026","vs_RHB","R",673872,"Bobby Milacki","CAM","R","Diestro","SP","Abridor",29,"USA","Lake Havasu City",14,NA,101,98,20,15,4,0,1,20,2,0,2,0,0,2,8,82,27.3333333333333,4.84,2.63,0.805,3.31,60,0.204,0.22,0.276,0.496,0.222,-14.1,19.8,2,17.8,6.59,0.66,0.33,6.59,30,25,4,50.8,42.4,6.8,1.2,369,51.5,25.3,74.7,13,31.4,18.4,69.9,33,2,4,0,0,0,0,0,0,0,974,3,1.2,0.73,-1.3,10.8594111111111,4.84,95,5.16,102,5.3,95,95,15.88,2.8,"NO","P"
"39","2026","Overall","All",835985,"Brady Miller","MVA","R","Diestro","SP","Abridor",26,"USA","Pembroke Pines",3,3,72,67,22,18,3,0,1,12,4,0,4,0,1,1,9,47,15.6666666666667,3.94,5.17,1.66,4.14,76,0.328,0.361,0.418,0.779,0.352,-0.8,16.7,5.6,11.1,6.89,2.3,0.57,12.64,13,14,6,39.4,42.4,18.2,0.93,243,51.9,21.4,78.6,11.1,26.3,15.2,67.1,7,1,2,0,0,0,0,0,0,0,243,0,0.5,1.52,0.4,10.0038888888889,4.05,80,4.7,93,5.06,91,78,15.19,3,"NO","P"
"40","2026","vs_LHB","L",835985,"Brady Miller","MVA","R","Diestro","SP","Abridor",26,"USA","Pembroke Pines",3,NA,25,22,6,5,1,0,0,4,2,0,2,0,1,0,4,17,5.66666666666667,3.94,6.35,1.412,3.73,68,0.273,0.32,0.318,0.638,0.297,-1.6,16,8,8,6.35,3.18,0,9.53,5,5,2,41.7,41.7,16.7,1,90,47.8,20.9,79.1,10,22.2,12.2,60,7,1,2,0,0,0,0,0,0,0,243,0,0.5,1.52,0.4,10.0038888888889,4.05,80,4.7,93,5.06,91,78,15.19,3,"NO","P"
"41","2026","vs_RHB","R",835985,"Brady Miller","MVA","R","Diestro","SP","Abridor",26,"USA","Pembroke Pines",3,NA,47,45,16,13,2,0,1,8,2,0,2,0,0,1,5,30,10,3.94,4.5,1.8,4.38,80,0.356,0.383,0.467,0.85,0.382,0.8,17,4.3,12.7,7.2,1.8,0.9,14.4,8,9,4,38.1,42.9,19,0.89,153,54.2,21.7,78.3,11.8,28.8,17,71.2,7,1,2,0,0,0,0,0,0,0,243,0,0.5,1.52,0.4,10.0038888888889,4.05,80,4.7,93,5.06,91,78,15.19,3,"NO","P"
"42","2026","Overall","All",842334,"Brander Guevara","QRO","R","Diestro","SP","Abridor",23,"Cuba","La Habana",9,8,140,119,38,28,4,1,5,14,18,0,18,1,0,4,27,87,29,8.69,8.38,1.931,7.32,134,0.319,0.413,0.496,0.909,0.409,6.2,10,12.9,-2.9,4.34,5.59,1.55,11.79,34,30,6,48.6,42.9,8.6,1.13,547,43,18.3,81.7,7.9,23,15.2,58.1,28,1,3,0,0,1,0,0,0,0,547,1,-0.1,-1.66,-10.8,12.2464814814815,7.23,143,6.72,133,9,162,171,18.86,0.78,"NO","P"
