team_name,team_id,flag
Czechia,800,https://www.mlbstatic.com/team-logos/800.svg
Puerto Rico,897,https://www.mlbstatic.com/team-logos/897.svg
Mexico,867,https://www.mlbstatic.com/team-logos/867.svg
Dominican Republic,805,https://www.mlbstatic.com/team-logos/805.svg
Israel,840,https://www.mlbstatic.com/team-logos/840.svg
Brazil,776,https://www.mlbstatic.com/team-logos/776.svg
Italy,841,https://www.mlbstatic.com/team-logos/841.svg
Japan,843,https://www.mlbstatic.com/team-logos/843.svg
United States,940,https://www.mlbstatic.com/team-logos/940.svg
Kingdom of the Netherlands,878,https://www.mlbstatic.com/team-logos/878.svg
Venezuela,944,https://www.mlbstatic.com/team-logos/944.svg
Canada,784,https://www.mlbstatic.com/team-logos/784.svg
Nicaragua,881,https://www.mlbstatic.com/team-logos/881.svg
Korea,1171,https://www.mlbstatic.com/team-logos/1171.svg
Great Britain,821,https://www.mlbstatic.com/team-logos/821.svg
Chinese Taipei,791,https://www.mlbstatic.com/team-logos/791.svg
Australia,760,https://www.mlbstatic.com/team-logos/760.svg
Colombia,792,https://www.mlbstatic.com/team-logos/792.svg
Panama,890,https://www.mlbstatic.com/team-logos/890.svg
Cuba,798,https://www.mlbstatic.com/team-logos/798.svg
