"","Number","Name","Position","Birth date","Birth Country","Bats","Throws","Team","position_group","age"
"1","10","Alan Garcia","OF","1997-01-31","USA","L","L","Bravos de Leon","Outfield",29
"2","46","Angel Lopez","P","2002-09-16","Mexico","L","L","Bravos de Leon","Pitchers",23
"3","45","Carlos Espinal","P","1996-10-21","Dominican Republic","R","R","Bravos de Leon","Pitchers",29
"4","14","Carlos Martínez","C","1995-05-02","Colombia","R","R","Bravos de Leon","Catchers",30
"5","95","Carlos Morales","P","1997-01-05","Mexico","R","R","Bravos de Leon","Pitchers",29
"6","70","Cristian Mejia","C","1999-07-20","Mexico","R","R","Bravos de Leon","Catchers",26
"7","52","Deury Carrasco","P","1999-09-20","Dominican Republic","L","R","Bravos de Leon","Pitchers",26
"8","88","Esteban Quiroz","2B","1992-02-17","Mexico","L","R","Bravos de Leon","Infield",34
"9","38","Felipe Gonzalez","P","1991-08-15","Mexico","R","R","Bravos de Leon","Pitchers",34
"10","64","Francisco Pérez","P","1997-07-20","Dominican Republic","S","L","Bravos de Leon","Pitchers",28
"11","28","Gabriel Cancel","2B","1996-12-08","Puerto Rico","R","R","Bravos de Leon","Infield",29
"12","8","Gaige Howard","OF","1998-05-22","USA","L","R","Bravos de Leon","Outfield",27
"13","7","Gilberto Carrera","2B","1994-11-16","Mexico","R","R","Bravos de Leon","Infield",31
"14","18","Jeff Lindgren","P","1996-09-17","USA","R","R","Bravos de Leon","Pitchers",29
"15","27","Jonah Dipoto","P","1996-09-03","USA","R","R","Bravos de Leon","Pitchers",29
"16","76","Jonas Garibay","P","2000-06-07","Mexico","R","R","Bravos de Leon","Pitchers",25
"17","2","Luis Medina","3B","1998-02-16","Cuba","R","R","Bravos de Leon","Infield",28
"18","17","Marco Chicuate","C","1992-07-14","Mexico","R","R","Bravos de Leon","Catchers",33
"19","62","Oliver Ortega","P","1996-10-02","Dominican Republic","R","R","Bravos de Leon","Pitchers",29
"20","98","Robert Corniel","P","1995-06-23","Dominican Republic","R","R","Bravos de Leon","Pitchers",30
"21","65","Robert Gsellman","P","1993-07-18","USA","R","R","Bravos de Leon","Pitchers",32
